geo,time,gender,life_expectancy
bgd,1982,female,54.521
bgd,1983,female,54.908
bgd,1984,female,55.338
bgd,1985,female,55.826
bgd,1986,female,56.37
bgd,1987,female,56.95
bgd,1988,female,57.546
bgd,1989,female,58.157
bgd,1990,female,58.784
bgd,1991,female,59.428
bgd,1992,female,60.092
bgd,1993,female,60.773
bgd,1994,female,61.467
bgd,1995,female,62.172
bgd,1996,female,62.883
bgd,1997,female,63.596
bgd,1998,female,64.303
bgd,1999,female,65
bgd,2000,female,65.677
bgd,2001,female,66.326
bgd,2002,female,66.947
bgd,2003,female,67.54
bgd,2004,female,68.109
bgd,2005,female,68.664
bgd,2006,female,69.218
bgd,2007,female,69.781
bgd,2008,female,70.355
bgd,2009,female,70.939
bgd,2010,female,71.521
bgd,2011,female,72.085
bgd,2012,female,72.617
bgd,2013,female,73.104
bgd,2014,female,73.545
bgd,2015,female,73.939
bgd,2016,female,74.294
bgr,1960,female,71.03
bgr,1961,female,72.06
bgr,1962,female,71.3
bgr,1963,female,72.02
bgr,1964,female,72.96
bgr,1965,female,73.23
bgr,1966,female,73.18
bgr,1967,female,72.56
bgr,1968,female,73.32
bgr,1969,female,72.74
bgr,1970,female,73.51
bgr,1971,female,73.24
bgr,1972,female,73.23
bgr,1973,female,73.77
bgr,1974,female,73.6
bgr,1975,female,73.58
bgr,1976,female,73.92
bgr,1977,female,73.5
bgr,1978,female,73.72
bgr,1979,female,74.11
bgr,1980,female,73.99
bgr,1981,female,74.43
bgr,1982,female,74.08
bgr,1983,female,74.48
bgr,1984,female,74.66
bgr,1985,female,74.46
bgr,1986,female,75.06
bgr,1987,female,74.81
bgr,1988,female,74.99
bgr,1989,female,75.19
bgr,1990,female,75.15
bgr,1991,female,74.88
bgr,1992,female,75.09
bgr,1993,female,75.26
bgr,1994,female,75.25
bgr,1995,female,74.9
bgr,1996,female,74.58
bgr,1997,female,73.87
bgr,1998,female,74.8
bgr,1999,female,75.1
bgr,2000,female,75.3
bgr,2001,female,75.2
bgr,2002,female,75.4
bgr,2003,female,75.6
bgr,2004,female,76.2
bgr,2005,female,76.3
bgr,2006,female,76.3
bgr,2007,female,76.3
bgr,2008,female,76.6
bgr,2009,female,77.1
bgr,2010,female,77.2
bgr,2011,female,77.8
bgr,2012,female,77.9
bgr,2013,female,78.6
bgr,2014,female,78
bgr,2015,female,78.2
bgr,2016,female,78.2
bhr,1960,female,55.392
bhr,1961,female,56.65
bhr,1962,female,57.894
bhr,1963,female,59.104
bhr,1964,female,60.266
bhr,1965,female,61.367
bhr,1966,female,62.403
bhr,1967,female,63.378
bhr,1968,female,64.296
bhr,1969,female,65.157
bhr,1970,female,65.959
bhr,1971,female,66.703
bhr,1972,female,67.39
bhr,1973,female,68.027
bhr,1974,female,68.616
bhr,1975,female,69.161
bhr,1976,female,69.665
bhr,1977,female,70.13
bhr,1978,female,70.56
bhr,1979,female,70.957
bhr,1980,female,71.323
bhr,1981,female,71.657
bhr,1982,female,71.959
bhr,1983,female,72.232
bhr,1984,female,72.479
bhr,1985,female,72.705
bhr,1986,female,72.913
bhr,1987,female,73.107
bhr,1988,female,73.292
bhr,1989,female,73.472
bhr,1990,female,73.651
bhr,1991,female,73.831
bhr,1992,female,74.011
bhr,1993,female,74.19
bhr,1994,female,74.37
bhr,1995,female,74.55
bhr,1996,female,74.73
bhr,1997,female,74.909
bhr,1998,female,75.085
bhr,1999,female,75.258
bhr,2000,female,75.43
bhr,2001,female,75.601
bhr,2002,female,75.771
bhr,2003,female,75.942
bhr,2004,female,76.112
bhr,2005,female,76.282
bhr,2006,female,76.45
bhr,2007,female,76.615
bhr,2008,female,76.776
bhr,2009,female,76.933
bhr,2010,female,77.087
bhr,2011,female,77.239
bhr,2012,female,77.39
bhr,2013,female,77.542
bhr,2014,female,77.693
bhr,2015,female,77.844
bhr,2016,female,77.995
bhs,1960,female,64.764
bhs,1961,female,65.172
bhs,1962,female,65.57
bhs,1963,female,65.961
bhs,1964,female,66.344
bhs,1965,female,66.719
bhs,1966,female,67.087
bhs,1967,female,67.449
bhs,1968,female,67.804
bhs,1969,female,68.152
bhs,1970,female,68.495
bhs,1971,female,68.831
bhs,1972,female,69.162
bhs,1973,female,69.486
bhs,1974,female,69.804
bhs,1975,female,70.117
bhs,1976,female,70.424
bhs,1977,female,70.726
bhs,1978,female,71.022
bhs,1979,female,71.315
bhs,1980,female,71.604
bhs,1981,female,71.891
bhs,1982,female,72.177
bhs,1983,female,72.459
bhs,1984,female,72.737
bhs,1985,female,73.008
bhs,1986,female,73.269
bhs,1987,female,73.517
bhs,1988,female,73.75
bhs,1989,female,73.964
bhs,1990,female,74.152
bhs,1991,female,74.307
bhs,1992,female,74.431
bhs,1993,female,74.528
bhs,1994,female,74.607
bhs,1995,female,74.683
bhs,1996,female,74.774
bhs,1997,female,74.894
bhs,1998,female,75.05
bhs,1999,female,75.245
bhs,2000,female,75.476
bhs,2001,female,75.733
bhs,2002,female,76.001
bhs,2003,female,76.265
bhs,2004,female,76.517
bhs,2005,female,76.753
bhs,2006,female,76.969
bhs,2007,female,77.171
bhs,2008,female,77.361
bhs,2009,female,77.54
bhs,2010,female,77.709
bhs,2011,female,77.869
bhs,2012,female,78.023
bhs,2013,female,78.173
bhs,2014,female,78.32
bhs,2015,female,78.465
bhs,2016,female,78.609
bih,1960,female,61.941
bih,1961,female,62.656
bih,1962,female,63.331
bih,1963,female,63.974
bih,1964,female,64.595
bih,1965,female,65.204
bih,1966,female,65.805
bih,1967,female,66.401
bih,1968,female,66.994
bih,1969,female,67.584
bih,1970,female,68.177
bih,1971,female,68.775
bih,1972,female,69.374
bih,1973,female,69.965
bih,1974,female,70.54
bih,1975,female,71.083
bih,1976,female,71.578
bih,1977,female,72.017
bih,1978,female,72.395
bih,1979,female,72.713
bih,1980,female,72.982
bih,1981,female,73.221
bih,1982,female,73.444
bih,1983,female,73.664
bih,1984,female,73.881
bih,1985,female,74.079
bih,1986,female,74.231
bih,1987,female,74.322
bih,1988,female,74.35
bih,1989,female,74.331
bih,1990,female,74.296
bih,1991,female,74.291
bih,1992,female,74.351
bih,1993,female,74.499
bih,1994,female,74.739
bih,1995,female,75.063
bih,1996,female,75.447
bih,1997,female,75.85
bih,1998,female,76.238
bih,1999,female,76.593
bih,2000,female,76.899
bih,2001,female,77.151
bih,2002,female,77.36
bih,2003,female,77.537
bih,2004,female,77.687
bih,2005,female,77.816
bih,2006,female,77.934
bih,2007,female,78.047
bih,2008,female,78.165
bih,2009,female,78.291
bih,2010,female,78.43
bih,2011,female,78.58
bih,2012,female,78.739
bih,2013,female,78.901
bih,2014,female,79.065
bih,2015,female,79.232
